turma,aula_num,date,licao_conteudo,atividade_extra,habilidades
CLOUD,6,03/03/2026,35,,Inteligência emocional
CLOUD,7,05/03/2025,36,Folha de revisão,Inteligência emocional
CLOUD,8,10/03/2026,,"Folha de atividade de revisão - Verbs, vocabulary and prepositions learned so far.",Inteligência emocional
CLOUD,9,12/03/2026,37,,Inteligência emocional
CLOUD,10,17/03/2026,,St. Patrick's dinamic (Prova na Jairo),Dinâmica em grupo
CLOUD,11,19/03/2026,38,,"Início do projeto ""Seeds of English""."
CLOUD,12,24/03/2026,39,,Seeds of English - Part II
CLOUD,13,26/03/2026,,Test,Inteligência emocional
CLOUD,14,31/03/2026,40,,Int. Emocional pág. 17
CLOUD,15,02/04/2026,,Easter + Completing the book,-
CLOUD,16,07/04/2026,41,,
CLOUD,17,09/04/2026,42,,
CLOUD,18,14/04/2026,,Games (To be) - (Prova da Jairo),
CLOUD,19,16/04/2026,43,,
CLOUD,20,23/04/2026,44,,
CLOUD,21,28/04/2026,45,,
CLOUD,22,30/04/2026,46,,
CLOUD,23,05/05/2026,47,,
CLOUD,24,07/05/2026,48,,
CLOUD,25,12/05/2026,49,,
CLOUD,26,14/05/2026,50,,
CLOUD,27,19/05/2026,51,,
CLOUD,28,21/05/2026,52,,
CLOUD,28,26/05/2026,,,
CLOUD,28,28/05/2026,,,
RISE,1,10/02/2026,Aula 0 - Welcome class,,
RISE,2,12/02/2026,Main verbs,Travel sentences.,
RISE,3,19/02/2026,1,,
RISE,4,24/02/2026,2,,
RISE,5,26/02/2026,3,,
RISE,6,03/03/2026,4,,
RISE,7,05/03/2025,5,,
RISE,8,10/03/2026,Introducing yourself,Form about yourself,
RISE,9,12/03/2026,6,,
RISE,10,17/03/2026,St. Patrick's,St. Patrick - Vocabulary worksheet,
RISE,11,19/03/2026,7,,
RISE,12,24/03/2026,9 e até pág. 42 da 10,,
RISE,13,26/03/2026,,,
RISE,14,31/03/2026,,,
RISE,15,02/04/2026,Easter,,
RISE,16,07/04/2026,,,
RISE,17,09/04/2026,,,
RISE,18,14/04/2026,,,
RISE,19,16/04/2026,,,
IMPACT,1,10/02/2026,Lesson 01,,Introdução + Mentalization
IMPACT,2,12/02/2026,Lesson 02,Verbs,"Conjunctions, Believe in..."
IMPACT,3,19/02/2026,Lesson 03,3ª Person,I plan / use / Do / Does
IMPACT,4,24/02/2026,Lesson 04,Pronunciation,Routine Have / Do / Does
IMPACT,5,26/02/2026,Lesson 05,Pronunciation,Workbook 1 H.W
IMPACT,6,03/03/2026,Lesson 02,Review,Daniel´s First Day (unplanned)
IMPACT,7,05/03/2025,Lesson 06,Woman´s Day,H.W Message for a woman
IMPACT,8,10/03/2026,Lesson 07,S. Present,H.W 5 phrases
IMPACT,9,12/03/2026,Lesson 08,S. Present,H.W  pag 29-32
IMPACT,10,17/03/2026,,,
IMPACT,11,19/03/2026,,,
IMPACT,12,24/03/2026,,,
IMPACT,13,26/03/2026,,,
IMPACT,14,31/03/2026,,,
IMPACT,15,02/04/2026,Lesson 11,Finances,
IMPACT,16,07/04/2026,Lesson 12,Finances,
IMPACT,17,09/04/2026,Lesson 13,Near / Close / Do / Make...Pronouns,Inteligencia emocional
IMPACT,18,14/04/2026,Lesson 13,Movie about daily routinesPronunciation and writing,Inteligencia emocional
IMPACT,19,23/04/2026,Unit 14,,
IMPACT,20,26/04/2026,Review Lessons  UNIT 01 !3,Simple Present/S.Past /writing,Finances pag 10/11
IMPACT,21,30/04/2026,assessment Review,,emotional itelligence unit 2
IMPACT,22,05/05/2026,unit 14•	Verbos: believe / plan / have / sell,struturas: simple present,emotional itelligence unit 3
IMPACT,25,08/05/2026,activities review lesson 01 a 14,Review activities wh questions,
IMPACT,26,12/05/2026,lessons 15 a 16,Review activities wh questions 15 a 16,emotional intelligence
IMPACT,27,15/05/2026,review lessons,Colocando os livros em diaaté lição 16,jovem empreendedor unit 03
IMPACT,28,19/05/2026,homework,"Obs Homework só feita leesson 01  Alunos com dificuldade em pronomes possessivos, adjetivos possessivos feito até lesson 03",jovem empreendedor unit 03 e 04
